date,S,cases,era
2025-12-18,3.664711379,63.3,pre-2026
2025-12-25,3.647777504,65.15,pre-2026
2026-01-01,3.580969659,59.43,2026
2026-01-08,3.676898411,80.28,2026
2026-01-15,3.688985437,78.43,2026
2026-01-22,3.650843524,102.66,2026
2026-01-29,3.613270249,127.52,2026
2026-02-05,3.634760631,137.43,2026
2026-02-12,3.626868234,108.04,2026
2026-02-19,3.633056887,91.43,2026
2026-02-26,3.67191199,70.88,2026
2026-03-05,3.615827372,65.9,2026
2026-03-12,3.639562916,59.8,2026
2026-03-19,3.618897519,54.4,2026
2026-03-26,3.653284826,48.3,2026
2026-04-02,3.606003939,40.55,2026
2026-04-09,3.622927445,32.96,2026
2026-04-16,3.621350717,35.79,2026
2026-04-23,3.631525682601063,34.66,post-transition
2026-04-30,3.6650227452745576,32.5,post-transition
2026-05-07,3.676997911619656,18.56,post-transition
